name,system,effective_for_diabetes,has_thirst_symptom,has_urination_symptom,active_compounds_count,has_blood_sugar_effect,efficacy_amplitude,system_frequency,phase_alignment,resonance_potential
Uranium Nitricum,Homeopathic,True,0,0,2,1,0.7998028077588737,0.25,0.6742520244460593,0.6869317028712498
Syzygium Jambolanum,Homeopathic,True,0,1,4,1,0.7344415832348149,0.25,0.426242844422471,0.8752139014806025
Phosphoric Acid,Homeopathic,False,1,0,3,0,0.31363227956722406,0.25,0.794958555011809,0.7474074923406093
Gymnema Sylvestre,Homeopathic,True,0,0,4,1,0.8892404728850785,0.25,0.5211236455254906,0.8136003853464184
Cephalandra Indica,Homeopathic,False,1,0,4,1,0.6401825193232281,0.25,0.7743131101943264,0.7434008424347037
Acid Phos,Homeopathic,False,0,0,2,0,0.4480690883637523,0.25,0.3586296076732679,0.8971723443898415
Arsenicum Album,Homeopathic,False,1,0,4,0,0.47460604283616603,0.25,0.7383516702587908,0.8102643852299114
Lycopodium,Homeopathic,False,1,0,2,0,0.5059452856552992,0.25,0.7689657018095497,0.7263998212310244
Natrum Sulph,Homeopathic,False,1,1,1,0,0.5639982408386022,0.25,0.5270770316516769,0.6924941591077131
Insulinum,Homeopathic,False,0,0,4,1,0.6623911041428318,0.25,0.33446979846324265,0.6030284231500985
Bryonia Alba,Homeopathic,False,0,0,1,0,0.42438280658610406,0.25,0.30586086092706855,0.7531761059873805
Chionanthus Virginica,Homeopathic,False,0,0,1,0,0.5387123095092834,0.25,0.48794786841508,0.697550002519666
Iris Versicolor,Homeopathic,False,1,0,5,0,0.4187187130385773,0.25,0.771441096935223,0.56063359645025
Phosphorus,Homeopathic,False,1,0,4,0,0.551957545706371,0.25,0.6906245113717271,0.7788704551716293
Rhus Aromatica,Homeopathic,False,1,1,4,0,0.5407462669909227,0.25,0.6729275042222729,0.5452211987050486
Allium Sativum,Homeopathic,False,0,0,4,0,0.47644264025388733,0.25,0.3057474026792205,0.5392335899876216
Helleborus Niger,Homeopathic,False,0,1,5,0,0.5523583798271225,0.25,0.36341364314957486,0.5994982018860345
Abroma Augusta,Homeopathic,False,0,1,3,0,0.46659355155861465,0.25,0.7063990653801602,0.8336410320658006
Belladonna,Homeopathic,False,1,1,3,0,0.5859193447306991,0.25,0.34154921514036213,0.69461214457762
Calendula,Homeopathic,False,0,1,2,0,0.34200087167725063,0.25,0.6675524564844453,0.7358092868789033
